#t (s)	T TESTO (°C)	T DS18B20 (°C)
1005	33.6	29.625
1006	33.6	29.625
1007	33.6	29.625
1008	33.6	29.625
1009	33.6	29.625
1010	33.6	29.625
1011	33.6	29.6875
1012	33.6	29.625
1013	33.6	29.625
1014	33.6	29.625
1015	33.6	29.625
1016	33.6	29.6875
1017	33.6	29.6875
1018	33.6	29.6875
1019	33.6	29.6875
1020	33.6	29.6875
1021	33.6	29.6875
1022	33.6	29.6875
1023	33.6	29.6875
1024	33.6	29.6875
1025	33.6	29.6875
1026	33.6	29.6875
1027	33.6	29.6875
1028	33.7	29.6875
1029	33.7	29.6875
1030	33.7	29.6875
1031	33.7	29.6875
1032	33.7	29.6875
1033	33.7	29.6875
1034	33.7	29.6875
1035	33.7	29.6875
1036	33.7	29.6875
1037	33.7	29.6875
1038	33.7	29.6875
1039	33.7	29.6875
1040	33.7	29.6875
1041	33.7	29.75
1042	33.7	29.75
1043	33.7	29.75
1044	33.7	29.75
1045	33.7	29.75
1046	33.7	29.75
1047	33.7	29.75
1048	33.7	29.75
1049	33.7	29.75
1050	33.7	29.75
1051	33.7	29.75
1052	33.7	29.75
1053	33.7	29.75
1054	33.7	29.75
1055	33.7	29.75
1056	33.7	29.75
1057	33.7	29.75
1058	33.7	29.75
1059	33.7	29.75
1060	33.7	29.8125
1061	33.7	29.75
1062	33.7	29.75
1063	33.7	29.8125
1064	33.7	29.8125
1065	33.7	29.75
1066	33.7	29.75
1067	33.7	29.8125
1068	33.8	29.8125
1069	33.8	29.8125
1070	33.8	29.8125
1071	33.8	29.8125
1072	33.8	29.8125
1073	33.8	29.8125
1074	33.8	29.8125
1075	33.8	29.8125
1076	33.8	29.8125
1077	33.8	29.8125
1078	33.8	29.8125
1079	33.8	29.8125
1080	33.8	29.8125
1081	33.8	29.8125
1082	33.8	29.8125
1083	33.8	29.875
1084	33.8	29.875
1085	33.8	29.8125
1086	33.8	29.875
1087	33.8	29.875
1088	33.8	29.875
1089	33.8	29.8125
1090	33.8	29.875
1091	33.8	29.875
1092	33.8	29.875
1093	33.8	29.875
1094	33.8	29.875
1095	33.8	29.875
1096	33.8	29.875
1097	33.8	29.875
1098	33.8	29.875
1099	33.8	29.875
1100	33.8	29.875
1101	33.8	29.875
1102	33.8	29.9375
1103	33.8	29.875
1104	33.8	29.875
1105	33.8	29.875
1106	33.8	29.875
1107	33.8	29.9375
1108	33.9	29.875
1109	33.9	29.875
1110	33.9	29.875
1111	33.9	29.875
1112	33.9	29.9375
1113	33.9	29.9375
1114	33.9	29.9375
1115	33.9	29.9375
1116	33.9	29.9375
1117	33.9	29.9375
1118	33.9	29.9375
1119	33.9	29.9375
1120	33.9	29.9375
1121	33.9	29.9375
1122	33.9	29.9375
1123	33.9	29.9375
1124	33.9	29.9375
1125	33.9	29.9375
1126	33.9	29.9375
1127	33.9	29.9375
1128	33.9	29.9375
1129	33.9	29.9375
1130	33.9	29.9375
1131	33.9	29.9375
1132	33.9	29.9375
1133	33.9	29.9375
1134	33.9	29.9375
1135	33.9	29.9375
1136	33.9	29.9375
1137	33.9	29.9375
1138	33.9	29.9375
1139	33.9	29.9375
1140	33.9	29.9375
1141	33.9	29.9375
1142	33.9	29.9375
1143	33.9	29.9375
1144	33.9	29.9375
1145	33.9	29.9375
1146	33.9	29.9375
1147	33.9	29.9375
1148	33.9	29.9375
1149	33.9	29.9375
1150	33.9	29.9375
1151	33.9	29.9375
1152	33.9	29.9375
1153	33.9	29.9375
1154	33.9	29.9375
1155	34	29.9375
1156	34	29.9375
1157	34	29.9375
1158	34	29.9375
1159	34	29.9375
1160	34	30.0625
1161	34	30.0625
1162	34	30.0625
1163	34	30.0625
1164	34	30.0625
1165	34	30.0625
1166	34	30.0625
1167	34	30.0625
1168	34	30.0625
1169	34	30.0625
1170	34	30.0625
1171	34	30.0625
1172	34	30.0625
1173	34	30.0625
1174	34	30.0625
1175	34	30.0625
1176	34	30.0625
1177	34	30.0625
1178	34	30.0625
1179	34	30.125
1180	34	30.0625
1181	34	30.0625
1182	34	30.125
1183	34	30.0625
1184	34	30.0625
1185	34	30.0625
1186	34	30.125
1187	34	30.0625
1188	34	30.0625
1189	34	30.125
1190	34	30.125
1191	34	30.125
1192	34	30.125
1193	34	30.125
1194	34	30.125
1195	34	30.125
1196	34	30.125
1197	34	30.125
1198	34	30.125
1199	34	30.125
1200	34	30.125
1201	34.1	30.125
1202	34.1	30.125
1203	34.1	30.125
1204	34.1	30.125
1205	34.1	30.125
1206	34.1	30.125
1207	34.1	30.125
1208	34.1	30.125
1209	34.1	30.125
1210	34.1	30.125
1211	34.1	30.1875
1212	34.1	30.1875
1213	34.1	30.125
1214	34.1	30.125
1215	34.1	30.1875
1216	34.1	30.1875
1217	34.1	30.1875
1218	34.1	30.1875
1219	34.1	30.1875
1220	34.1	30.1875
1221	34.1	30.1875
1222	34.1	30.1875
1223	34.1	30.1875
1224	34.1	30.1875
1225	34.1	30.1875
1226	34.1	30.1875
1227	34.1	30.1875
1228	34.1	30.1875
1229	34.2	30.1875
1230	34.2	30.1875
1231	34.1	30.1875
1232	34.1	30.1875
1233	34.2	30.1875
1234	34.2	30.25
1235	34.2	30.25
1236	34.2	30.1875
1237	34.2	30.25
1238	34.2	30.1875
1239	34.2	30.25
1240	34.2	30.25
1241	34.2	30.1875
1242	34.2	30.25
1243	34.2	30.1875
1244	34.2	30.25
1245	34.2	30.1875
1246	34.2	30.25
1247	34.2	30.25
1248	34.2	30.25
1249	34.2	30.25
1250	34.2	30.25
1251	34.2	30.25
1252	34.2	30.25
1253	34.2	30.25
1254	34.2	30.25
1255	34.2	30.25
1256	34.2	30.25
1257	34.2	30.25
1258	34.2	30.25
1259	34.2	30.25
1260	34.2	30.25
1261	34.2	30.3125
1262	34.2	30.3125
1263	34.2	30.25
1264	34.2	30.25
1265	34.2	30.25
1266	34.2	30.25
1267	34.2	30.3125
1268	34.2	30.3125
1269	34.2	30.3125
1270	34.2	30.3125
1271	34.2	30.3125
1272	34.2	30.3125
1273	34.2	30.25
1274	34.2	30.3125
1275	34.2	30.3125
1276	34.2	30.3125
1277	34.2	30.3125
1278	34.2	30.3125
1279	34.2	30.3125
1280	34.2	30.3125
1281	34.2	30.3125
1282	34.2	30.3125
1283	34.3	30.3125
1284	34.3	30.375
1285	34.3	30.3125
1286	34.3	30.3125
1287	34.3	30.3125
1288	34.3	30.3125
1289	34.3	30.3125
1290	34.3	30.3125
1291	34.3	30.3125
1292	34.3	30.3125
1293	34.3	30.375
1294	34.3	30.3125
1295	34.3	30.3125
1296	34.3	30.3125
1297	34.3	30.3125
1298	34.3	30.375
1299	34.3	30.3125
1300	34.3	30.375
1301	34.3	30.375
1302	34.3	30.375
1303	34.3	30.375
1304	34.3	30.375
1305	34.3	30.375
1306	34.3	30.375
1307	34.3	30.375
1308	34.3	30.375
1309	34.3	30.375
1310	34.3	30.375
1311	34.3	30.375
1312	34.3	30.375
