NO;SOUND;UNIT;TIME
484;48.8;dBC;05-04-24/15:06:50
485;51.2;dBC;05-04-24/15:07:00
486;52.9;dBC;05-04-24/15:07:10
487;62.7;dBC;05-04-24/15:07:20
488;57.9;dBC;05-04-24/15:07:30
489;57.9;dBC;05-04-24/15:07:40
490;51.9;dBC;05-04-24/15:07:50
491;52.2;dBC;05-04-24/15:08:00
492;55.0;dBC;05-04-24/15:08:10
493;54.3;dBC;05-04-24/15:08:20
494;52.7;dBC;05-04-24/15:08:30
495;53.1;dBC;05-04-24/15:08:40
496;58.4;dBC;05-04-24/15:08:50
497;52.2;dBC;05-04-24/15:09:00
498;51.9;dBC;05-04-24/15:09:10
499;54.6;dBC;05-04-24/15:09:20
500;51.0;dBC;05-04-24/15:09:30
501;51.9;dBC;05-04-24/15:09:40
502;50.0;dBC;05-04-24/15:09:50
503;50.8;dBC;05-04-24/15:10:00
504;52.2;dBC;05-04-24/15:10:10
505;49.6;dBC;05-04-24/15:10:20
506;51.2;dBC;05-04-24/15:10:30
507;56.0;dBC;05-04-24/15:10:40
508;50.8;dBC;05-04-24/15:10:50
509;50.5;dBC;05-04-24/15:11:00
510;50.3;dBC;05-04-24/15:11:10
511;55.3;dBC;05-04-24/15:11:20
512;55.8;dBC;05-04-24/15:11:30
513;56.2;dBC;05-04-24/15:11:40
514;53.6;dBC;05-04-24/15:11:50
515;51.0;dBC;05-04-24/15:12:00
516;51.7;dBC;05-04-24/15:12:10
517;50.8;dBC;05-04-24/15:12:20
518;57.2;dBC;05-04-24/15:12:30
519;49.8;dBC;05-04-24/15:12:40
520;54.3;dBC;05-04-24/15:12:50
521;51.2;dBC;05-04-24/15:13:00
522;51.7;dBC;05-04-24/15:13:10
523;53.4;dBC;05-04-24/15:13:20
524;52.4;dBC;05-04-24/15:13:30
525;53.1;dBC;05-04-24/15:13:40
526;57.2;dBC;05-04-24/15:13:50
527;57.9;dBC;05-04-24/15:14:00
528;55.8;dBC;05-04-24/15:14:10
529;52.4;dBC;05-04-24/15:14:20
530;49.3;dBC;05-04-24/15:14:30
531;49.6;dBC;05-04-24/15:14:40
532;55.5;dBC;05-04-24/15:14:50
533;53.4;dBC;05-04-24/15:15:00
534;50.5;dBC;05-04-24/15:15:10
535;50.5;dBC;05-04-24/15:15:20
536;52.9;dBC;05-04-24/15:15:30
537;50.5;dBC;05-04-24/15:15:40
538;51.0;dBC;05-04-24/15:15:50
539;58.6;dBC;05-04-24/15:16:00
540;57.0;dBC;05-04-24/15:16:10
541;54.6;dBC;05-04-24/15:16:20
542;55.5;dBC;05-04-24/15:16:30
543;54.6;dBC;05-04-24/15:16:40
